case         ; tech  ; tech.app.score ; tech.app.profile 
arbaminch    ; double.pit   ;   0.29 ; bod = 0.36 ,  water = 1 ,  temp = 1 ,  omskil = 0.8 
arbaminch    ; single.pit   ;   0.18 ; bod = 0.23 ,  omskil = 0.8 
arbaminch    ; septic.tank  ;      0 ; bod = 0 ,  water = 0.96 ,  temp = 0.99 ,  omskil = 0.2 
thimi        ; double.pit   ;   0.12 ; bod = 0.13 ,  water = 1 ,  temp = 1 ,  omskil = 0.93 
thimi        ; single.pit   ;  0.043 ; bod = 0.046 ,  omskil = 0.93 
thimi        ; septic.tank  ;      0 ; bod = 0 ,  water = 0.91 ,  temp = 0.99 ,  omskil = 0.4 
